2025-07-23 01:45:28,824 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 01:45:28,824 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 01:45:28,825 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 01:45:29,633 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250723_014528.png
2025-07-23 10:24:47,285 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 10:24:47,287 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 10:24:47,288 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 10:24:47,290 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 10:24:47,292 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 10:24:50,559 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250723_102447.png
2025-07-23 10:34:06,867 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 10:34:06,868 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 10:34:06,869 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 10:34:06,869 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 10:34:06,870 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 10:34:08,097 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250723_103406.png
2025-07-23 10:57:05,117 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 10:57:05,117 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 10:57:05,118 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 10:57:05,119 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 10:57:05,120 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 10:57:07,710 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: [Errno 2] No such file or directory: 'output/Smart Cases Layout - Wall 1/3 (Apple Focus)_large_cases_planogram_20250723_105705.png'
2025-07-23 12:01:13,208 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 12:01:13,209 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 12:01:13,210 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 12:01:13,210 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 12:01:13,212 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 12:01:27,611 | ERROR    | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Failed to generate intelligent planogram: 'planogram_image'
