product_name                                                                                           , series       , category      , subcategory   , brand          , width, height, depth, core_product, frequency
HYPHEN Sling Bag 203-Camouflage                                                                        , Mac Universal, bag           , Camouflage    , HYPHEN         ,  35.0,    8.0,  28.0, Mac         ,         4
HyperDrive 4-in-1 iPad USB-C Hub                                                                       , Mac Universal, hub           , Default       , Hyper Drive    ,   8.0,    2.0,  16.0, Mac         ,         1
HyperDrive DUO 7-in-2 USB-C Hub for MacBook Pro / Air                                                  , MacBook Pro  , hub           , Default       , Hyper Drive    ,   8.0,    2.0,  16.0, Mac         ,         1
HyperDrive NET Hub for USB-C MacBook Pro                                                               , MacBook Pro  , hub           , Default       , Hyper Drive    ,   8.0,    2.0,  16.0, Mac         ,         6
Jingmark Horizontal Laptop sleeve Cognac 13 inch                                                       , Mac Universal, sleeve        , Cognac        , Jingmark       ,  30.0,    0.3,  20.0, Mac         ,         3
Jingmark Vertical laptop sleeve Cognac 13 inch                                                         , Mac Universal, sleeve        , Cognac        , Jingmark       ,  30.0,    0.3,  20.0, Mac         ,         4
Jingmark Vertical laptop sleeve Cognac 14 inch                                                         , Mac Universal, sleeve        , Cognac        , Jingmark       ,  30.0,    0.3,  20.0, Mac         ,         4
Jingmark Vertical laptop sleeve black 14 inch                                                          , Mac Universal, sleeve        , Black         , Jingmark       ,  30.0,    0.3,  20.0, Mac         ,         5
Jingmark Vertital Laptop sleeve Black 13 inch                                                          , Mac Universal, sleeve        , Black         , Jingmark       ,  30.0,    0.3,  20.0, Mac         ,         4
LED Lamp with Wireless Charger - Dimmer - On Product                                                   , Mac Universal, charger       , Default       , NEDIS          ,   6.0,    4.8,   7.5, Mac         ,         1
Logitech Keyboard MX KEYS Mini Graphite                                                                , Mac Universal, peripheral    , Graphite      , Logitech       ,  10.0,    3.0,  12.0, Mac         ,         2
Logitech Keyboard MX KEYS Mini MAC Pale Grey                                                           , Mac Universal, peripheral    , Pale Grey     , Logitech       ,  10.0,    3.0,  12.0, Mac         ,         1
Logitech Pebble M350s Mouse - Graphite                                                                 , Mac Universal, peripheral    , Graphite      , Logitech       ,  10.0,    3.0,  12.0, Mac         ,         3
Logitech Pebble M350s Mouse - White                                                                    , Mac Universal, peripheral    , White         , Logitech       ,  10.0,    3.0,  12.0, Mac         ,        29
MOFT logo debossed only laptop stand fits up to 15.6 laptops - Space Grey                              , Mac Universal, stand         , Grey          , MOFT           ,  15.0,   10.0,  15.0, Mac         ,        93
NATIVE UNION  STOW MACBOOK CASE FABRIC INDIGO 13                                                       , MacBook      , hardshell case, Default       , Native Union   ,  30.0,    1.5,  21.0, Mac         ,       262
NATIVE UNION STOW MACBOOK CASE FABRIC SLATE 13                                                         , MacBook      , hardshell case, Default       , Native Union   ,  30.0,    1.5,  21.0, Mac         ,       310
Neopack Anti-Glare Frame for Macbook Air M1 Series                                                     , MacBook Air  , keyboard skin , Default       , Neo pack       ,  30.0,    0.1,  20.0, Mac         ,         1
Neopack Silicon Keyboard Guard for Macbook Air - Magic Keyboard                                        , MacBook Air  , peripheral    , Default       , Neo pack       ,  10.0,    3.0,  12.0, Mac         ,         1
Neopack Unimount Stand - White (DEMO)                                                                  , Mac Universal, stand         , White         , Neo pack       ,  15.0,   10.0,  15.0, Mac         ,         1
Neopack iPaper for iPad Air 10.9 & 11 PRO                                                              , Mac Universal, stand         , Default       , Neo pack       ,  15.0,   10.0,  15.0, Mac         ,         1
PULSE 100W PD GAN Desktop Charger - White                                                              , Mac Universal, charger       , White         , Pulse          ,   6.0,    4.8,   7.5, Mac         ,       164
PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml                                      , Mac Universal, cleaning      , Default       , PanzerGlass    ,   5.0,    2.0,  12.0, Mac         ,      1102
PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml                                       , Mac Universal, cleaning      , Default       , PanzerGlass    ,   5.0,    2.0,  12.0, Mac         ,      1093
Powerup 120w 3 Type-C  PD   USB QC 3.0 Wall Charger - White                                            , Mac Universal, charger       , White         , Power UP       ,   6.0,    4.8,   7.5, Mac         ,         2
Powerup ELITE MICRO USB-C HUB 5IN1 (PD-4USB)                                                           , Mac Universal, hub           , Silver        , PowerUP        ,   8.0,    2.0,  16.0, Mac         ,         5
Powerup MINI SPLITTER USB-C HUB 3IN1 (Type-C/HDMI/USB)                                                 , Mac Universal, hub           , Gunmetal      , PowerUP        ,   8.0,    2.0,  16.0, Mac         ,         5
Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024                               , MacBook Air  , privacy filter, Black         , Pulse          ,  30.0,    0.3,  20.0, Mac         ,       863
Pulse Magnetic privacy filter for MacBook Air 15.3 inch M2 M3 2023  2024                               , MacBook Air  , privacy filter, Black         , Pulse          ,  30.0,    0.3,  20.0, Mac         ,       150
Pulse Magnetic privacy filter for MacBook Pro 14.2 inch M1 M2 2021  2023                               , MacBook Pro  , privacy filter, Black         , Pulse          ,  30.0,    0.3,  20.0, Mac         ,       294
Pulse Magnetic privacy filter for MacBook Pro 16.2 inch 2021  M1 M2 2021- 2023                         , MacBook Pro  , privacy filter, Black         , Pulse          ,  30.0,    0.3,  20.0, Mac         ,       105
RIVACASE 5120 black Laptop bag 13.3 / 12                                                               , Mac Universal, hardshell case, Black         , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,        47
RIVACASE 5123 black MacBook 13 sleeve / 12                                                             , MacBook      , sleeve        , Black         , Rivacase       ,  30.0,    0.3,  20.0, Mac         ,        34
RIVACASE 5123 blue MacBook 13 sleeve / 12                                                              , MacBook      , sleeve        , Blue          , Rivacase       ,  30.0,    0.3,  20.0, Mac         ,        32
RIVACASE 5123 red MacBook 13 sleeve / 12                                                               , MacBook      , sleeve        , Red           , Rivacase       ,  30.0,    0.3,  20.0, Mac         ,        35
RIVACASE 7703 black ECO Laptop sleeve 13.3 / 12                                                        , Mac Universal, sleeve        , Black         , Rivacase       ,  30.0,    0.3,  20.0, Mac         ,        67
RIVACASE 7703 blue ECO Laptop sleeve 13.3 / 12                                                         , Mac Universal, sleeve        , Blue          , Rivacase       ,  30.0,    0.3,  20.0, Mac         ,        12
RIVACASE 8221 black Laptop bag 13 3 / 6                                                                , Mac Universal, hardshell case, Black         , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,       477
RIVACASE 8231 Black Laptop bag 15 6 / 6                                                                , Mac Universal, hardshell case, Black         , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,         6
RIVACASE 8630 black Laptop bag 15 6 / 6                                                                , Mac Universal, hardshell case, Black         , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,        38
RIVACASE 8720 grey Laptop bag 13.3 / 6                                                                 , Mac Universal, hardshell case, Grey          , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,        34
RIVACASE 8730 grey Laptop bag 15 6 / 6                                                                 , Mac Universal, hardshell case, Grey          , Rivacase       ,  30.0,    1.5,  21.0, Mac         ,        19
Raopro  isheild Hard Shell Case For Macbook 16.2 56821  Clear                                          , MacBook      , hardshell case, Clear         , Raopro         ,  30.0,    1.5,  21.0, Mac         ,         3
SANDISK 16GB MICRO SD ULTRA 98MB/S  A1 HIGH SPEED CLASS 10                                             , Mac Universal, storage       , Default       , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         2
SANDISK 256GB ULTRA DUAL DRIVE GO TYPE-C FLASH DRIVE                                                   , Mac Universal, storage       , Default       , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         1
STOW LT MBS KFT 13  STOW LITE SLEEVE FOR MACBOOK 13 KRAFT                                              , MacBook      , sleeve        , Beige/Yellow  , Native Union   ,  30.0,    0.3,  20.0, Mac         ,         6
STOW MBS GRY 14 STOW SLIM SLEEVE FOR MACBOOK 13 14 SLATE                                               , MacBook      , sleeve        , Grey          , Native Union   ,  30.0,    0.3,  20.0, Mac         ,         7
SanDisk Extreme Portable SSD - 1TB  Black                                                              , Mac Universal, storage       , Black         , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,        64
SanDisk Extreme Portable SSD 1050MB s R 1TB Monterey color IP 65 resistance and 3 meter drop protection, Mac Universal, storage       , Blue          , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,        58
SanDisk Extreme Portable SSD 1050MB s R 2TB Monterey color IP 65 resistance and 3 meter drop protection, Mac Universal, storage       , Blue          , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,        28
SanDisk Extreme Portable SSD 1050MB s R 4TB Monterey color IP 65 resistance and 3 meter drop protection, Mac Universal, storage       , Blue          , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         7
SanDisk Ultra Dual USB Drive 3.0 SDDD2 128GB USB3.0 Black                                              , Mac Universal, storage       , Black         , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         4
SanDisk Ultra Fit USB 3.1 128GB - Small Form Factor Plug & Stay Hi-Speed USB Drive                     , Mac Universal, storage       , Default       , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         2
SanDisk Ultra USB 3.0 Flash Drive  CZ48 128GB  USB3.0  Black  stylish sleek design  5Y                 , Mac Universal, storage       , Black         , Sandisk        ,   8.0,    1.5,  12.0, Mac         ,         2
TEKNE 240W USB4 Braided Cable                                                                          , Mac Universal, cable         , Default       , Tekne          ,  10.2,    2.8,  15.5, Mac         ,       208
TEKNE Gadget Organiser- Olive Green                                                                    , Mac Universal, charger       , Green         , Tekne          ,   6.0,    4.8,   7.5, Mac         ,       332
TEKNE Spotfree Cleaning Spray                                                                          , Mac Universal, cleaning      , Default       , Tekne          ,   5.0,    2.0,  12.0, Mac         ,      5851
TEKNE essential USB-C Hub                                                                              , Mac Universal, hub           , Default       , Tekne          ,   8.2,    2.2,  16.5, Mac         ,       389
TEKNE macbook essential Kit for 13-inch MacBook Air with  M2 chip - Midnight                           , MacBook Air  , accessory     , Default       , Tekne          ,  10.0,    3.0,  12.0, Mac         ,        46
TEKNE macbook essential Kit for 13-inch MacBook Air with  M2 chip-Space Grey                           , MacBook Air  , accessory     , Grey          , Tekne          ,  10.0,    3.0,  12.0, Mac         ,        13
TEKNE macbook essential Kit for 13-inch MacBook Air with  M2 chip-Starlight                            , MacBook Air  , accessory     , Default       , Tekne          ,  10.0,    3.0,  12.0, Mac         ,        15
TEKNE macbook essential Kit for 15-inch MacBook Air M3-Midnight                                        , MacBook Air  , accessory     , Size 15.3-Inch, Tekne          ,  10.0,    3.0,  12.0, Mac         ,         4
TEKNE macbook essential Kit for 15-inch MacBook Air M3-Starlight                                       , MacBook Air  , accessory     , Size 15.3-Inch, Tekne          ,  10.0,    3.0,  12.0, Mac         ,        14
TEKNE macbook essential Kit for 16-inch MacBook Pro: Apple M3  Pro -Space Black                        , MacBook Pro  , accessory     , Size 15.3-Inch, Tekne          ,  10.0,    3.0,  12.0, Mac         ,        11
TEKNE macbook essential Kit for Macbook pro 14 M3 -Space Black                                         , MacBook Pro  , accessory     , Size 14.2-Inch, Tekne          ,  10.0,    3.0,  12.0, Mac         ,        33
TUCANO COLORE 15.6 sleeve Black                                                                        , Mac Universal, sleeve        , Black         , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         1
TUCANO COLORE 15.6 sleeve Blue                                                                         , Mac Universal, sleeve        , Blue          , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         2
TUCANO COLORE 15.6 sleeve Red                                                                          , Mac Universal, sleeve        , Red           , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         3
TUCANO SHAKE 15.6 COLOR Sleeve                                                                         , Mac Universal, sleeve        , Default       , Tucano         ,  30.0,    0.3,  20.0, Mac         ,         3
