lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPad,iPad Mini,Charger/Adapter,70W USB-C Power Adapter,12,0.0052631578947368,1
iPad,iPad Mini,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,12,0.0052631578947368,1
iPad,iPad Standard,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,101,0.0051641272113713,1
iPad,iPad Air,Charger/Adapter,35W Dual USB-C Power Adapter,124,0.0050932391357923,1
iPad,iPad Air,Case,Gripp Melon Case for Apple iPad Air 11  2024    Grey Black,123,0.0050521646266327,1
iPad,iPad Pro,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,103,0.004858261402764,1
iPad,iPad Mini,Apple Pencil,Apple Pencil  2nd Generation ,11,0.0048245614035087,1
iPad,iPad Mini,Cable,Powerup QuadMax 4IN1 66W Zinc Alloy 1.2m Cable,11,0.0048245614035087,1
iPad,iPad Air,Case,Gripp Melon Case for Apple iPad Air 11  2024  - Dark Blue,113,0.0046414195350365,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024  - Light Green,112,0.0046003450258769,1
iPad,iPad Pro,Case,TEKNE Shockproof vegan leather case with stand function for iPad pro 13  M4 -Grey,95,0.0044809207112872,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Blue,109,0.004477121498398,1
iPad,iPad Mini,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,10,0.0043859649122807,1
iPad,iPad Mini,Cable,USB-C to Lightning Cable  2 m ,10,0.0043859649122807,1
iPad,iPad Standard,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,85,0.0043460476531342,1
iPad,iPad Air,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,105,0.0043128234617596,1
iPad,iPad Pro,Case,Gripp Melon Case for Apple iPad Pro 11  2024  - Dark Blue,91,0.0042922503655487,1
iPad,iPad Standard,Charger/Adapter,70W USB-C Power Adapter,82,0.0041926577359648,1
iPad,iPad Air,Case,Gripp Armor Case for Apple iPad Air 11  2024    Black,100,0.0041074509159615,1
iPad,iPad Pro,Charger/Adapter,MagSafe Charger  1 m ,87,0.0041035800198103,1
iPad,iPad Pro,Charger/Adapter,70W USB-C Power Adapter,87,0.0041035800198103,1
iPad,iPad Standard,Cable,Pulse 1.2m  Sillicone lighting cable,80,0.0040903977911851,1
