lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
Mac,MacBook Pro,Other,Pulse Magnetic privacy filter for MacBook Air 15.3 inch M2 M3 2023  2024 ,8,0.0039081582804103565,1
Mac,MacBook Pro,Charger/Adapter,96W USB-C POWER ADAPTER-HIN,8,0.0039081582804103565,1
Mac,Mac Mini,Mouse/Trackpad,Magic Mouse Black -  USB-C ,10,0.003897116134060795,1
Mac,Mac Mini,Cable,TEKNE 240W USB4 Braided Cable,10,0.003897116134060795,1
Mac,Mac Mini,Case,iPhone 16 Pro Max Clear Case with MagSafe,10,0.003897116134060795,1
Mac,MacBook Air,Other,Tucano Gommo Slimbag-Black Macbooks 13   14,33,0.003862811658667915,1
Mac,MacBook Air,Other,Tucano Gommo Slimbag Macbooks 13   Laptops upto 14 -Blue,33,0.003862811658667915,1
Mac,MacBook Air,Other,Tucano Smilza Slim Bag-Blue,33,0.003862811658667915,1
Mac,MacBook Air,Other,Tucano Second Skin sleeve designed especially for 13.3  and 14  notebooks - Black,32,0.0037457567599204025,1
Mac,MacBook Air,Other,Tucano Smilza Slimbag Macbooks 13   Laptops upto 14 -Beige,31,0.00362870186117289,1
Mac,MacBook Air,Apple Pencil,APPLE PENCIL  USB-C ,30,0.0035116469624253775,1
Mac,Mac Mini,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,9,0.0035074045206547155,1
Mac,Mac Mini,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,9,0.0035074045206547155,1
Mac,Mac Mini,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,9,0.0035074045206547155,1
Mac,Mac Mini,Other,TEKNE Gadget Organiser- Olive Green,9,0.0035074045206547155,1
Mac,Mac Mini,Apple Pencil,APPLE PENCIL  USB-C ,9,0.0035074045206547155,1
Mac,Mac Mini,Other,Apple AirTag  4 Pack ,9,0.0035074045206547155,1
