core_product,accessory_category,accessory_name,purchase_count,attach_rate
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15 Pro-Blue,13,4.411789659443775e-05
iPhone 15,Case,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15 Pro- Brown,6,2.036210612050973e-05
iPhone 15,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,49,0.00016629053331749613
iPhone 15,Charger/Adapter,MagSafe Charger  1 m ,41,0.00013914105849014983
iPhone 15,Case,Gripp Bolt MagSafe Case for Apple iPhone 15 Max (6.7) - Black,29,9.841684624913037e-05
iPhone 15,Case,Pulse Tire magsafe case for iPhone 15 Pro Max Black,17,5.7692634008110906e-05
iPhone 15,Case,NATIVE UNION  STOW MACBOOK CASE FABRIC INDIGO 13,1,3.3936843534182887e-06
iPhone 15,Case,Tekne Matt Magsafe Case for iPhone 16-Black,3,1.0181053060254866e-05
iPhone 15,Case,Apple Watch Series 9 GPS 41mm Pink Aluminium Case with Light Pink Sport Band - S/M,8,2.714947482734631e-05
iPhone 15,Charger/Adapter,Powerup Max Charge 20W USB Type-C Ultra Smart Wall Charger - White,25,8.484210883545722e-05
iPhone 15,Case,Gripp Rubon Magsafe Case for Apple iPhone 15 Max (6.7) - Black,11,3.7330527887601175e-05
iPhone 15,Other,13-inch MBA M2 8-core CPU and 8-core GPU  256GB - Space Grey,14,4.751158094785604e-05
iPhone 15,Other,Tucano Top Sleeve 13/14,4,1.3574737413673155e-05
iPhone 15,Case,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Black Matte,3,1.0181053060254866e-05
iPhone 15,Case,Gripp Vintage Magsafe Case for Apple iPhone 15 (6.1) - Black,7,2.375579047392802e-05
iPhone 15,Apple Pencil,APPLE PENCIL  USB-C ,90,0.00030543159180764596
iPhone 15,Case,IPHONE 15 FINEWOVEN CASE GRN-ZML,19,6.448000271494748e-05
iPhone 15,Case,Gripp Bolt Case for Apple iPhone 15 Max (6.7) - Black,53,0.00017986527073116928
iPhone 15,Other,PG MSC-ENML-SUN FIRE-MVT MVT,1,3.3936843534182887e-06
iPhone 15,Case,Apple Watch Series 9 GPS   Cellular 41mm Midnight Aluminium Case with Midnight Sport Band - S/M,8,2.714947482734631e-05
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15 Pro Max-Black,29,9.841684624913037e-05
