Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Pro,Gripp Matrix MagSafe Case for Apple iPhone 16 Pro  6.3  - Gold,25,26,51
iPhone 16 Pro,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro  6.3  - Black Matte,45,27,72
iPhone 16 Pro,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro  6.3  - Gold Matte,76,55,131
iPhone 16 Pro,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro  6.3  - Transparent,42,42,84
iPhone 16 Pro,Gripp Slim Fit Magsafe Case for Apple iPhone 16 Pro  6.3  - Black,9,9,18
iPhone 16 Pro,Gripp Slim Fit Magsafe Case for Apple iPhone 16 Pro  6.3  - Grey,11,13,24
iPhone 16 Pro,Peak Design Mobile - Everyday Clarino Case - iPhone 16 Pro - Tan,1,1,2
iPhone 16 Pro Max,Gripp Clear Case for Apple iPhone 16 Pro Max  6.9  - Clear,29,17,46
iPhone 16 Pro Max,Gripp Clear MagSafe Case for Apple iPhone 16 Pro Max  6.9  with White Ring - Clear,40,39,79
iPhone 16 Pro Max,Gripp Dusk MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Black,29,42,71
iPhone 16 Pro Max,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Gunmetal,9,14,23
iPhone 16 Pro Max,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Natural Titanium,5,15,20
iPhone 16 Pro Max,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Rose Gold,37,36,73
iPhone 16 Pro Max,Gripp Holdit MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Grey,0,7,7
iPhone 16 Pro Max,Gripp Holdit MagSafe Case for Apple iPhone 16 Pro Max  6.9  - R.Gold,11,7,18
iPhone 16 Pro Max,Gripp Matrix MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Black,15,16,31
iPhone 16 Pro Max,Gripp Matrix MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Gold,21,29,50
iPhone 16 Pro Max,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Black Matte,27,27,54
iPhone 16 Pro Max,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Gold Matte,59,67,126
iPhone 16 Pro Max,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Transparent,44,41,85
iPhone 16 Pro Max,Gripp Slim Fit Magsafe Case for Apple iPhone 16 Pro Max  6.9  - Black,1,7,8
