lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
AirPods,AirPods Pro,Case,Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Black Sport Band - M/L,84,0.0021752078100318512,1
AirPods,AirPods Standard,Cable,Beats USB-C to Lightning Woven Cable  1.5 m  - Bolt Black,85,0.0021610352630107034,1
AirPods,AirPods Standard,Watch Band,Gripp 40/42/44mm stainless steel watch strap - Black,84,0.002135611318739989,1
AirPods,AirPods Standard,Case,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16-White,84,0.002135611318739989,1
AirPods,AirPods Standard,Charger/Adapter,Choetech 20W USB-C PD Adapter,84,0.002135611318739989,1
AirPods,AirPods Standard,Other,Tucano Smilza Slim Bag-Blue,83,0.0021101873744692754,1
AirPods,AirPods Standard,Case,Tekne ARMOUR Case for iPhone 16 Plus-Matt Clear,83,0.0021101873744692754,1
AirPods,AirPods Standard,Case,Gripp STELLAR MagSafe Case for Apple iPhone 16 Pro Max  6.9  - Transparent,83,0.0021101873744692754,1
AirPods,AirPods Pro,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,80,0.0020716264857446203,1
AirPods,AirPods Pro,Apple Pencil,APPLE PENCIL TIPS - 4 PACK,80,0.0020716264857446203,1
AirPods,AirPods Pro,Charger/Adapter,Choetech 20W USB-C PD Adapter,80,0.0020716264857446203,1
AirPods,AirPods Pro,Cable,Beats USB-C to Lightning Woven Cable  1.5 m  - Bolt Black,80,0.0020716264857446203,1
AirPods,AirPods Pro,Other,Belkin GLASS EZ TRAY APPLE  13 PRO MAX TEMPERED GLASS AM,80,0.0020716264857446203,1
AirPods,AirPods Pro,Case,AirPods  3rd generation  with MagSafe Charging Case,79,0.0020457311546728126,1
AirPods,AirPods Standard,Other,EarPods with 3.5mm Headphone Plug,80,0.0020339155416571326,1
AirPods,AirPods Max,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,3,0.0019430051813471502,1
AirPods,AirPods Max,Case,iPhone 16 Pro Max Silicone Case with MagSafe - Black,3,0.0019430051813471502,1
AirPods,AirPods Max,Case,Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Black Sport Band - M/L,3,0.0019430051813471502,1
AirPods,AirPods Max,Other,Noerden Minimi+,3,0.0019430051813471502,1
AirPods,AirPods Max,Other,ALOGIC USB-C Fusion ALPHA 5-in-1 Hub V2,3,0.0019430051813471502,1
